timestamp,channel,id,dlc,data
205939887,0,0x200,6,000000000000
233914512,0,0x100,8,002003d0076f0015
263299387,0,0x200,6,000000000000
320366887,0,0x200,6,000000000000
352305262,0,0x100,8,002003d0076f0015
377728262,0,0x200,6,000000000000
434794012,0,0x200,6,000000000000
470682137,0,0x100,8,002003d0076f0015
492161387,0,0x200,6,000000000000
549221137,0,0x200,6,000000000000
589075012,0,0x100,8,002003d0076f0015
606588387,0,0x200,6,000000000000
663648262,0,0x200,6,000000000000
707305887,0,0x100,8,002003d0076f0015
721009512,0,0x200,6,000000000000
778075262,0,0x200,6,000000000000
825696887,0,0x100,8,002003d0076f0015
835436637,0,0x200,6,000000000000
892508137,0,0x200,6,000000000000
944073387,0,0x100,8,002003d0076f0015
949869137,0,0x200,6,000000000000
1006930887,0,0x200,6,000000000000
1062457887,0,0x100,8,002003d0076f0015
1064291887,0,0x200,6,000000000000
1121357512,0,0x200,6,000000000000
1178571012,0,0x200,6,000000000000
1180992887,0,0x100,8,002003d0076f0015
1235930762,0,0x200,6,000000000000
1293004512,0,0x200,6,000000000000
1299376262,0,0x100,8,002003d0076f0015
1350364262,0,0x200,6,000000000000
1407423887,0,0x200,6,000000000000
1417753387,0,0x100,8,002003d0076f0015
1464785512,0,0x200,6,000000000000
1521851262,0,0x200,6,000000000000
1536136512,0,0x100,8,002003d0076f0015
1579212887,0,0x200,6,000000000000
1636278637,0,0x200,6,000000000000
1654527762,0,0x100,8,002003d0076f0015
1693646262,0,0x200,6,000000000000
1750711762,0,0x200,6,000000000000
1772912637,0,0x100,8,002003d0076f0015
1808073262,0,0x200,6,000000000000
1865133012,0,0x200,6,000000000000
1891287762,0,0x100,8,002003d0076f0015
1922494637,0,0x200,6,000000000000
1979560387,0,0x200,6,000000000000
2009676887,0,0x100,8,002003d0076f0015
2036921887,0,0x200,6,000000000000
2093987637,0,0x200,6,000000000000
2128055887,0,0x100,8,002003d0076f0015
2151355012,0,0x200,6,000000000000
2208414887,0,0x200,6,000000000000
2246446887,0,0x100,8,002003d0076f0015
2265776262,0,0x200,6,000000000000
2322843762,0,0x200,6,000000000000
2364679637,0,0x100,8,002003d0076f0015
2380203137,0,0x200,6,000000000000
2437270887,0,0x200,6,000000000000
2483068512,0,0x100,8,002003d0076f0015
2494630137,0,0x200,6,000000000000
2551704012,0,0x200,6,000000000000
2601447262,0,0x100,8,002003d0076f0015
2609063137,0,0x200,6,000000000000
2666124887,0,0x200,6,000000000000
2719838137,0,0x100,8,002003d0076f0015
2723486012,0,0x200,6,000000000000
2780551762,0,0x200,6,000000000000
2837765512,0,0x200,6,000000000000
2838223512,0,0x100,8,002003d0076f0015
2895127262,0,0x200,6,000000000000
2952199137,0,0x200,6,000000000000
2956742887,0,0x100,8,002003d0076f0015
3009558887,0,0x200,6,000000000000
3066620637,0,0x200,6,000000000000
3075132262,0,0x100,8,002003d0076f0015
3123980387,0,0x200,6,000000000000
3181047887,0,0x200,6,000000000000
3193509262,0,0x100,8,002003d0076f0015
3238407512,0,0x200,6,000000000000
3295475387,0,0x200,6,000000000000
3311902512,0,0x100,8,002003d0076f0015
3352841012,0,0x200,6,000000000000
3409900762,0,0x200,6,000000000000
3430285637,0,0x100,8,002003d0076f0015
3467262262,0,0x200,6,000000000000
3524330012,0,0x200,6,000000000000
3548668762,0,0x100,8,002003d0076f0015
3581689512,0,0x200,6,000000000000
3638755262,0,0x200,6,000000000000
3667051887,0,0x100,8,002003d0076f0015
3696116762,0,0x200,6,000000000000
3753190262,0,0x200,6,000000000000
3785436512,0,0x100,8,002003d0076f0015
3810549637,0,0x200,6,000000000000
3867611387,0,0x200,6,000000000000
3903821512,0,0x100,8,002003d0076f0015
3924970762,0,0x200,6,000000000000
3982038512,0,0x200,6,000000000000
4022196262,0,0x100,8,002003d0076f0015
4039397637,0,0x200,6,000000000000
4096465387,0,0x200,6,000000000000
4140443137,0,0x100,8,002003d0076f0015
4153832637,0,0x200,6,000000000000
4210892387,0,0x200,6,000000000000
4258819887,0,0x100,8,002003d0076f0015
4268259637,0,0x200,6,000000000000
4325319137,0,0x200,6,000000000000
4377212262,0,0x100,8,002003d0076f0015
4382680012,0,0x200,6,000000000000
4439745762,0,0x200,6,000000000000
4495596887,0,0x100,8,002003d0076f0015
4497106762,0,0x200,6,000000000000
4554180637,0,0x200,6,000000000000
4611394137,0,0x200,6,000000000000
4614124012,0,0x100,8,002003d0076f0015
4668753887,0,0x200,6,000000000000
4725813762,0,0x200,6,000000000000
4732505512,0,0x100,8,002003d0076f0015
4783175512,0,0x200,6,000000000000
4840241387,0,0x200,6,000000000000
